p (Variables),Noise Type,Variance Type,SHD
4,Uniform,Fixed,3
4,Uniform,Fixed,1
4,Uniform,Fixed,4
4,Uniform,Fixed,4
4,Uniform,Fixed,2
4,Gaussian,Fixed,5
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,5
4,Gaussian,Fixed,2
4,Gaussian,Fixed,6
4,Gaussian,Fixed,3
4,Gaussian,Fixed,4
4,Gaussian,Fixed,3
4,Gaussian,Fixed,5
4,Gaussian,Fixed,3
4,Gaussian,Fixed,4
4,Gaussian,Fixed,3
4,Gaussian,Fixed,3
4,Gaussian,Fixed,6
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,3
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,2
4,Gaussian,Fixed,4
4,Gaussian,Fixed,5
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,3
4,Gaussian,Fixed,3
4,Gaussian,Fixed,4
4,Gaussian,Fixed,2
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,3
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,7
4,Gaussian,Fixed,5
4,Gaussian,Fixed,3
4,Gaussian,Fixed,7
4,Gaussian,Fixed,5
4,Gaussian,Fixed,3
4,Gaussian,Fixed,4
4,Gaussian,Fixed,7
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,3
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,3
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,3
4,Gaussian,Fixed,2
4,Gaussian,Fixed,4
4,Gaussian,Fixed,5
4,Gaussian,Fixed,5
4,Gaussian,Fixed,4
4,Gaussian,Fixed,5
4,Gaussian,Fixed,4
4,Gaussian,Fixed,1
4,Gaussian,Fixed,6
4,Gaussian,Fixed,6
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,5
